Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
6200    KESTER                       AV,,34.1827,-118.4575,8/26/2020 0:00,8/24/2020 0:00,1100,9,Van Nuys,933,1,344,37,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
4000    TRINITY                      ST,,34.0106,-118.2704,10/29/2020 0:00,10/28/2020 0:00,2230,13,Newton,1354,2,913,42,F,H,101,STREET,,,AO,Adult Other,Crimes against Public Order
6000    LASAINE                      AV,,34.179,-118.5105,6/14/2020 0:00,6/13/2020 0:00,2130,10,West Valley,1047,1,1822 0344,40,M,H,707,GARAGE/CARPORT,,,AO,Adult Other,Property Crimes
6200 S  RIMPAU                       BL,,33.9836,-118.3397,12/27/2020 0:00,12/24/2020 0:00,1800,12,77th Street,1231,1,1300 0341 0385 0344 1822,53,M,B,101,STREET,,,IC,Invest Cont,Property Crimes
NORDHOFF,ORION,34.2337,-118.463,9/17/2020 0:00,9/17/2020 0:00,730,19,Mission,1972,1,2000 1309 1814 1310 0913 0906 0416,31,F,H,101,STREET,307,VEHICLE,AA,Adult Arrest,Violent Crimes
BALBOA,TULSA,34.2684,-118.5022,6/19/2020 0:00,6/18/2020 0:00,2100,17,Devonshire,1735,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
4200    MURIETTA                     AV,,34.1464,-118.4383,6/4/2020 0:00,4/1/2020 0:00,1200,9,Van Nuys,985,2,0100 0928 1822,60,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
13900    POLK                         ST,,34.3238,-118.4387,2/6/2020 0:00,2/6/2020 0:00,2215,19,Mission,1904,2,2000 0401 1813,29,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
19100    INGOMAR                      ST,,34.212,-118.5492,12/31/2020 0:00,12/31/2020 0:00,830,10,West Valley,1001,2,0400 2000 0913 1814 0444,26,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
400 S  OXFORD                       AV,,34.0672,-118.3079,1/22/2020 0:00,1/22/2020 0:00,1345,20,Olympic,2023,2,2004,0,X,X,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,Crimes against Public Order
23200    GONZALES                     DR,,34.1657,-118.6321,2/5/2020 0:00,2/1/2020 0:00,800,21,Topanga,2173,1,1258 1402 0527 1415 1822,13,F,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11800    JEFFERSON                    BL,,33.9861,-118.4017,10/21/2020 0:00,9/25/2020 0:00,1300,14,Pacific,1465,1,1402 0344 1610,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
13400    CORNELIUS                    ST,,34.2796,-118.4239,10/1/2020 0:00,9/30/2020 0:00,1600,16,Foothill,1611,2,0416 0913 0429,33,M,H,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
NOBLE,BAHAMA,34.2329,-118.461,7/9/2020 0:00,7/8/2020 0:00,1730,19,Mission,1972,1,,0,,,101,STREET,,,AA,Adult Arrest,Property Crimes
18700    SUNBURST                     ST,,34.2346,-118.5403,1/1/2020 0:00,1/1/2020 0:00,15,17,Devonshire,1785,2,0419 0429 0913 0361,27,F,W,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1900    GLENDON                      AV,,34.0472,-118.4333,9/2/2020 0:00,9/1/2020 0:00,2359,8,West LA,835,1,,0,,,707,GARAGE/CARPORT,,,AA,Adult Arrest,Property Crimes
10100    BARTEE                       AV,,34.2537,-118.4355,4/8/2020 0:00,4/8/2020 0:00,2055,19,Mission,1959,2,416,15,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
25TH                         ST,NEVIN,34.0147,-118.2445,12/16/2020 0:00,12/16/2020 0:00,140,13,Newton,1327,1,1100 0432 0430 1309 2004 1218 0913,33,M,H,102,SIDEWALK,102,HAND GUN,AO,Adult Other,Violent Crimes
6700    CEDROS                       AV,,34.1925,-118.4531,1/29/2021 0:00,12/19/2020 0:00,2251,9,Van Nuys,923,1,1302 1300 1822 0321 0344,23,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
15700    WOODVALE                     RD,,34.1529,-118.4749,7/30/2020 0:00,7/29/2020 0:00,1930,10,West Valley,1089,1,0344 1607 1202 1822 0379 1275 1420,74,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
11200    COVELLO                      ST,,34.2075,-118.3769,12/23/2020 0:00,12/18/2020 0:00,1330,15,N Hollywood,1506,2,0922 0377,29,F,H,602,BANK,,,IC,Invest Cont,Fraud and White-Collar Crimes
7800    CLYBOURN                     AV,,34.2121,-118.3638,5/18/2020 0:00,5/18/2020 0:00,420,16,Foothill,1698,1,0344 1607,63,M,H,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
600 E  87TH                         ST,,33.9593,-118.2651,1/6/2020 0:00,1/6/2020 0:00,1500,18,Southeast,1804,2,0400 0416 1814 2000,22,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
SHERMAN                      WY,KESTER,34.2013,-118.4574,11/21/2020 0:00,11/19/2020 0:00,1600,9,Van Nuys,904,1,1822 1202 0344 0346 0390,78,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
7600    VINELAND                     AV,,34.2084,-118.3703,10/3/2020 0:00,10/3/2020 0:00,1930,16,Foothill,1695,2,1407,0,M,W,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,Crimes against Public Order
9700    WENDOVER                     DR,,34.1235,-118.429,11/28/2020 0:00,11/27/2020 0:00,1600,8,West LA,808,1,0382 0389 0344 0358 1609 0321 0352 1822,41,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
6000    VAN NUYS                     BL,,34.1794,-118.4487,8/19/2020 0:00,8/18/2020 0:00,2000,9,Van Nuys,943,1,0358 0344 1300,51,F,O,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
12000    STRATHERN                    ST,,34.2157,-118.3948,8/12/2020 0:00,8/11/2020 0:00,2330,16,Foothill,1684,1,0344 1300,27,F,B,101,STREET,,,IC,Invest Cont,Property Crimes
LEXINGTON                    AV,LAS PALMAS                   AV,34.0926,-118.3363,11/25/2020 0:00,11/24/2020 0:00,1710,6,Hollywood,663,1,0400 0416 0444 0429 1814 2000 1402 0913,31,F,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
1100 E  VERNON                       AV,,34.006,-118.2513,6/27/2020 0:00,6/27/2020 0:00,126,13,Newton,1346,1,1501,44,M,H,122,"VEHICLE, PASSENGER/TRUCK",506,FIRE,IC,Invest Cont,Property Crimes
ETON,VALERIO,34.2047,-118.5955,12/20/2020 0:00,12/20/2020 0:00,1230,21,Topanga,2136,1,1822 0305 0444 0429 0416 0417,34,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11200    LA MAIDA                     ST,,34.1584,-118.3746,11/3/2020 0:00,9/12/2020 0:00,1200,15,N Hollywood,1555,1,2037 0344,69,M,W,519,SHORT-TERM VACATION RENTAL,,,IC,Invest Cont,Property Crimes
4300 S  WESTERN                      AV,,34.0052,-118.3089,10/11/2020 0:00,10/11/2020 0:00,2215,3,Southwest,395,1,1309 0342 0344 1822 0209 0334 0346 0416 0445 0449,36,M,H,102,SIDEWALK,312,PIPE/METAL PIPE,IC,Invest Cont,Violent Crimes
11800    TEALE                        ST,,33.9856,-118.4007,4/27/2021 0:00,9/1/2020 0:00,1200,14,Pacific,1465,2,1000,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,Fraud and White-Collar Crimes
900 N  BROADWAY,,34.0615,-118.2412,11/15/2020 0:00,11/15/2020 0:00,1220,1,Central,111,1,1609 0344 1307 0329 1822,33,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
15700    VANOWEN                      ST,,34.1939,-118.4749,5/8/2020 0:00,5/7/2020 0:00,830,10,West Valley,1039,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
41ST                         PL,ALAMEDA                      ST,34.0349,-118.2436,3/9/2020 0:00,3/7/2020 0:00,1500,13,Newton,1307,2,1218 2004 1206 0345 1822,52,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
40TH                         PL,PALOMA,34.0101,-118.261,5/13/2020 0:00,5/13/2020 0:00,1430,13,Newton,1343,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
2200    COLORADO                     BL,,34.1391,-118.2141,10/10/2020 0:00,10/10/2020 0:00,1831,11,Northeast,1115,1,0344 0325,0,X,X,406,OTHER STORE,,,IC,Invest Cont,Property Crimes
3500    MARMION                      WY,,34.0871,-118.2141,8/26/2020 0:00,7/25/2020 0:00,1200,11,Northeast,1189,1,0344 0358 0352,33,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
800    MILLMARK GROVE               ST,,33.7596,-118.2953,9/20/2022 0:00,8/12/2020 0:00,800,5,Harbor,521,2,377,25,M,W,751,WEBSITE,,,IC,Invest Cont,Fraud and White-Collar Crimes
8700    CEDROS                       AV,,34.2265,-118.4565,10/6/2020 0:00,10/6/2020 0:00,30,19,Mission,1984,2,2038 0561,60,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Crimes against Public Order
17400    RAINBOW RIDGE                CI,,34.286,-118.5138,2/21/2020 0:00,2/21/2020 0:00,1736,17,Devonshire,1715,1,1501 0314 1606 0344 1822,49,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
600 S  VIRGIL                       AV,,34.0637,-118.287,4/26/2020 0:00,4/26/2020 0:00,240,20,Olympic,2029,2,1813 1243 0913 2000 2002 0329 0400 0448 1206,27,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
3300 E  OLYMPIC                      BL,,34.0191,-118.2083,7/21/2020 0:00,7/21/2020 0:00,430,4,Hollenbeck,497,1,,22,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,Property Crimes
TARLETON                     ST,16TH                         ST,34.0245,-118.244,2/24/2020 0:00,2/24/2020 0:00,1143,13,Newton,1317,1,1307 0358 1609 0344 1309,48,F,O,101,STREET,,,IC,Invest Cont,Property Crimes
2900    LEEWARD                      AV,,34.0587,-118.2869,5/20/2020 0:00,5/20/2020 0:00,930,20,Olympic,2039,2,2000 0913 1813,40,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
8600    BALBOA                       BL,,34.2248,-118.5151,8/10/2020 0:00,8/9/2020 0:00,850,17,Devonshire,1795,1,,34,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
LEIMERT                      BL,43RD                         ST,34.0054,-118.3297,9/14/2020 0:00,9/14/2020 0:00,1500,3,Southwest,393,1,0344 1822 2032,32,M,B,101,STREET,,,IC,Invest Cont,Property Crimes
5200    KESTER                       AV,,34.1649,-118.4574,12/9/2020 0:00,12/7/2020 0:00,1100,9,Van Nuys,952,1,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
13900    VANOWEN                      ST,,34.1976,-118.4356,5/8/2020 0:00,4/18/2020 0:00,1200,9,Van Nuys,916,1,344,46,M,B,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
600 N  PALOS VERDES                 ST,,33.7478,-118.2817,4/19/2020 0:00,4/19/2020 0:00,2100,5,Harbor,558,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
5600    IRVINGTON                    PL,,34.1152,-118.1962,12/11/2020 0:00,12/11/2020 0:00,1950,11,Northeast,1118,2,0913 0554 0400 0416,18,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
11400    SANTA MONICA                 BL,,34.0457,-118.4511,11/17/2020 0:00,11/15/2020 0:00,1340,8,West LA,853,2,100,35,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
GRIFFITH                     AV,24TH                         ST,34.0224,-118.2564,3/3/2020 0:00,3/3/2020 0:00,940,13,Newton,1323,2,2000 0444 0429 0419 0416 0356,22,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5900 S  HOOVER                       ST,,33.9864,-118.2871,12/23/2020 0:00,12/20/2020 0:00,1800,12,77th Street,1239,1,1300 0344 0329,24,F,H,101,STREET,,,IC,Invest Cont,Property Crimes
COMMONWEALTH,4TH,34.0667,-118.2857,12/15/2020 0:00,12/15/2020 0:00,750,20,Olympic,2029,1,0319 0340 0355 0432 1402 1822 2004,41,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
AVENUE 26,HURON                        ST,34.0845,-118.2232,8/12/2020 0:00,8/12/2020 0:00,1205,11,Northeast,1177,2,0401 0400 1253 0416 1822 0910,53,M,H,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
SAN FERNANDO,FLETCHER,34.1149,-118.2459,12/24/2020 0:00,12/24/2020 0:00,1455,11,Northeast,1124,2,1253 0400 1822 0416 0910,40,F,B,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 E  109TH                        ST,,33.9374,-118.2681,1/29/2020 0:00,1/29/2020 0:00,1130,18,Southeast,1844,1,0344 1822,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
11500    AVIATION                     BL,,33.9298,-118.3784,10/28/2020 0:00,10/28/2020 0:00,1448,14,Pacific,1499,2,1822 0416,34,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
8500    FOOTHILL                     BL,,34.2597,-118.3179,2/21/2020 0:00,2/21/2020 0:00,1650,16,Foothill,1656,2,0329 0417,34,M,O,601,SAVINGS & LOAN,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
1200 N  MCCADDEN                     PL,,34.0926,-118.3375,6/27/2020 0:00,6/13/2020 0:00,5,6,Hollywood,663,1,1300 1601 0344 0352,32,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
107TH                        ST,MCKINLEY                     AV,33.9393,-118.2608,2/24/2020 0:00,2/18/2020 0:00,1830,18,Southeast,1834,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
3600    WATSEKA                      AV,,34.0288,-118.3996,1/17/2020 0:00,1/17/2020 0:00,324,14,Pacific,1409,1,0344 0385 1300,23,M,A,101,STREET,,,IC,Invest Cont,Property Crimes
2000    ALLESANDRO                   ST,,34.0916,-118.2577,12/24/2020 0:00,12/24/2020 0:00,300,11,Northeast,1173,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
17500    MARGATE                      ST,,34.1677,-118.5142,11/23/2020 0:00,11/20/2020 0:00,1800,10,West Valley,1067,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
2000    OUTPOST                      DR,,34.1146,-118.3607,4/23/2020 0:00,4/22/2020 0:00,850,6,Hollywood,622,1,1300 1601 0344 0352,36,F,W,101,STREET,,,IC,Invest Cont,Property Crimes
6600    ALCOVE                       AV,,34.1903,-118.4128,6/26/2020 0:00,6/26/2020 0:00,1250,15,N Hollywood,1512,2,0421 1813 2000,39,F,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AA,Adult Arrest,Crimes against Public Order
TAMPA,HATTERAS,34.1758,-118.5535,1/16/2020 0:00,1/16/2020 0:00,1220,10,West Valley,1041,2,0377 1822 0930 1402 2004,16,M,W,101,STREET,,,AA,Adult Arrest,Fraud and White-Collar Crimes
11000    HERSHEY                      ST,,34.251,-118.3723,6/15/2020 0:00,6/14/2020 0:00,300,16,Foothill,1665,2,329,28,F,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
13900    GILMORE                      ST,,34.1876,-118.4356,10/31/2020 0:00,10/9/2020 0:00,1415,9,Van Nuys,926,2,0377 0100 1822 1202 0930,69,M,W,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,Fraud and White-Collar Crimes
300 S  FIGUEROA                     ST,,34.0542,-118.2566,8/11/2020 0:00,8/11/2020 0:00,805,1,Central,141,2,0416 2004 1822,47,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
18000    CALVERT                      ST,,34.1819,-118.5252,6/13/2020 0:00,6/13/2020 0:00,1945,10,West Valley,1034,1,0344 1822 1609 0321 0352,49,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
800 N  LA BREA                      AV,,34.0853,-118.3441,5/5/2020 0:00,5/5/2020 0:00,1845,7,Wilshire,706,1,1822 0334 1266 0353 2006 0945,41,M,B,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Property Crimes
100    CATAMARAN                    ST,,33.9781,-118.4644,11/17/2020 0:00,11/16/2020 0:00,2300,14,Pacific,1452,2,329,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
700 W  81ST                         ST,,33.9655,-118.2838,8/24/2020 0:00,8/14/2020 0:00,1900,12,77th Street,1266,1,0344 1822,27,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
GRAND                        AV,47TH                         ST,34.0011,-118.2805,3/15/2020 0:00,3/14/2020 0:00,1200,13,Newton,1361,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
HARTFORD                     AV,4TH                          ST,34.0573,-118.2634,9/16/2020 0:00,9/16/2020 0:00,1840,2,Rampart,248,1,1822 0416 0445 0334 0432 2047 0906,28,M,H,101,STREET,302,BLUNT INSTRUMENT,IC,Invest Cont,Violent Crimes
1600    VINE                         ST,,34.0987,-118.3337,4/12/2020 0:00,4/11/2020 0:00,2300,6,Hollywood,646,1,1202 1300 1601 1606 0344 0352,64,F,O,101,STREET,,,IC,Invest Cont,Property Crimes
3700    LEE                          ST,,34.0219,-118.1923,7/27/2020 0:00,7/27/2020 0:00,1000,4,Hollenbeck,479,2,2004 0913 2038 0561,76,F,H,504,OTHER RESIDENCE,,,IC,Invest Cont,Crimes against Public Order
600 S  VIRGIL                       AV,,34.0634,-118.2871,12/31/2020 0:00,12/31/2020 0:00,1500,20,Olympic,2029,2,1814 0416,25,F,B,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
3700    BALDWIN                      ST,,34.0704,-118.2013,9/16/2020 0:00,9/16/2020 0:00,1930,4,Hollenbeck,424,2,0913 0421 1820 1912 1259,5,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
13300    WOODBRIDGE                   ST,,34.1475,-118.4225,10/28/2020 0:00,10/25/2020 0:00,1000,9,Van Nuys,989,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
700 W  107TH                        ST,,33.9391,-118.2869,5/16/2020 0:00,5/16/2020 0:00,1120,18,Southeast,1841,1,0334 2021 0361 0913 0603 0359 0443,58,F,B,101,STREET,304,CLUB/BAT,IC,Invest Cont,Crimes against Public Order
4700 N  MENDOTA                      AV,,34.1179,-118.2129,1/17/2024 0:00,7/3/2020 0:00,1505,11,Northeast,1136,2,0100 0928,39,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
ROSCOE,LINDLEY,34.2442,-118.5362,9/20/2020 0:00,9/20/2020 0:00,600,17,Devonshire,1767,2,0913 1814 1300 2000 0416 0400,29,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
